#,Crop Name,Code,Focus Code,Numeric Code,Vertical ID,Crop Flag,Effective Date,Category,Crop Category,Crop Type,Scientific Name,Common Name,Family Name,Genus,Species,Season,Start Month,End Month,Duration Days to Maturity,Sowing Time,Harvest Time,Climate Requirement,Soil Type,Isolation Distance Meters,Expected Yield (qtl/acre),Regeneration Cut of Year,Number of Seed/Quantity,Average Seed Weightg,Unit,Pouch Standard,Description,Is Active,Update Status,Updated Date,Created At
1,Ash Gourd,AG,CRP001,10,2,1,01-01-2005,Vegetable,Fiber Crop,Annual,test1,test1,test1,test1,test1,Rabi,February,August,120,June-july,jan,warm,Silty Soil,200,2,5,10,10,Gram,Small Pouch,test,1,Yes,11-05-2026,11-05-2026 14:51
2,Bajra Seed,BS,CRP033,11,1,1,01-01-2005,Cereals,Food Crop,Annual,ss,s,s,s,s,Kharif,June,October,12,June-july,jan,warm,Clay Soil,12,12,2,10,10,Gram,Small Pouch,ss,1,Yes,11-05-2026,11-05-2026 15:25
3,Bhindi,OK,CRP002,12,2,1,01-01-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Bitter Gourd,BG,CRP003,13,2,1,01-01-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bottle Gourd,BO,CRP005,14,2,1,01-01-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Brinjal,BR,CRP006,15,2,1,01-01-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Capsicum,CA,CRP007,16,2,1,01-01-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Chilli,CH,CRP008,17,2,1,01-01-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Cluster Bean,CB,CRP009,18,2,1,01-01-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Coriander,CO,CRP010,19,2,1,01-01-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Cowpea,CP,CRP011,20,2,1,01-01-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Cucumber,CU,CRP027,21,2,1,01-01-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Dolichos,SE,CRP012,22,2,1,01-01-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Maize Seed,MZ,CRP034,23,1,1,01-01-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Paddy Seed,PD,CRP035,24,1,1,01-01-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Papaya,PP,CRP028,25,2,1,01-01-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Pumpkin,PK,CRP013,26,2,1,01-01-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Radish,RD,CRP014,27,2,1,01-01-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Ridge Gourd,RG,CRP015,28,2,1,01-01-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Snake Gourd,SN,CRP016,29,2,1,01-01-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sponge Gourd,SG,CRP017,30,2,1,01-01-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Tinda,TN,CRP018,31,2,1,01-01-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Tomato,TO,CRP019,32,2,1,01-01-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Watermelon,WM,CRP029,33,2,1,01-01-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
